Title,Worldwide
Grease 2,"$15,171,476"
The Secret of NIMH,"$14,665,733"
Halloween III: Season of the Witch,"$14,400,000"
Diner,"$14,099,953"
The Beastmaster,"$14,056,528"
Missing,"$14,000,000"
Star Wars: Episode V - The Empire Strikes Back 1982 Re-release,"$13,276,241"
Visiting Hours,"$13,258,670"
Vice Squad,"$13,253,583"
Author! Author!,"$13,111,101"
Amityville II: The Possession,"$12,534,817"
Monsignor,"$12,408,066"
Making Love,"$11,897,978"
The Seduction,"$11,378,339"
Das Boot,"$10,915,250"
Silent Rage,"$10,490,791"
Savannah Smiles,"$10,413,170"
Class Reunion,"$10,054,150"
Hanky Panky,"$9,823,934"
Shoot the Moon,"$9,217,530"
A Midsummer Night's Sex Comedy,"$9,077,269"
Trail of the Pink Panther,"$9,056,073"
If You Could See What I Hear,"$8,693,512"
Night Crossing,"$8,000,000"
The Pirate Movie,"$7,983,086"
The Beast Within,"$7,742,572"
Tex,"$7,400,000"
The Missionary,"$7,241,180"
Cat People,"$7,000,000"
I Ought to Be in Pictures,"$6,968,359"
The Amateur,"$6,892,098"
Six Weeks,"$6,668,025"
Forced Vengeance,"$6,660,333"
The Last Unicorn,"$6,455,330"
The Soldier,"$6,328,816"
The Border,"$6,118,683"
Evil Under the Sun,"$6,110,000"
Partners,"$6,062,898"
Still of the Night,"$5,979,947"
The Last American Virgin,"$5,829,781"
Megaforce,"$5,675,599"
Personal Best,"$5,672,311"
Paradise,"$5,588,800"
Cannery Row,"$5,301,539"
Venom,"$5,229,643"
Inchon,"$5,200,986"
Heidi's Song,"$5,124,391"
Tempest,"$5,005,245"
Summer Lovers,"$4,968,000"
Honkytonk Man,"$4,484,991"
Jekyll and Hyde... Together Again,"$3,792,188"
Wrong Is Right,"$3,583,513"
Fighting Back,"$3,355,948"
Penitentiary II,"$3,178,542"
The Challenge,"$2,977,706"
Homework,"$2,914,328"
Jinxed!,"$2,869,638"
It Came from Hollywood,"$2,573,342"
A Stranger Is Watching,"$2,519,559"
A Little Sex,"$2,370,376"
"Yes, Giorgio","$2,279,543"
Barbarosa,"$1,736,123"
"I, the Jury","$1,515,578"
Endangered Species,"$1,474,249"
The Sender,"$1,054,328"
Lookin' to Get Out,"$946,461"
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","$840,958"
The House Where Evil Dwells,"$667,863"
One from the Heart,"$636,796"
The Weavers: Wasn't That a Time,"$524,203"
Monty Python Live at the Hollywood Bowl,"$327,958"
I'm Dancing as Fast as I Can,"$291,390"
Split Image,"$263,635"
Five Days One Summer,"$199,078"
The Escape Artist,"$143,369"
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"$78,350"
Movie Madness,"$63,405"
White Dog,"$46,509"
Hammett,"$42,914"
"Ladies and Gentlemen, the Fabulous Stains","$25,728"
Love & Money,"$14,009"
Parasite,"$2,270"
Star Wars: Episode VI - Return of the Jedi,"$252,583,617"
Terms of Endearment,"$108,423,489"
Flashdance,"$92,921,203"
Trading Places,"$90,404,800"
WarGames,"$79,567,667"
Octopussy,"$67,893,619"
Sudden Impact,"$67,642,693"
Staying Alive,"$64,892,670"
Mr. Mom,"$64,783,827"
Risky Business,"$63,541,777"
National Lampoon's Vacation,"$61,399,552"
Superman III,"$59,950,623"
The Big Chill,"$56,342,711"
Never Say Never Again,"$55,432,841"
Jaws 3-D,"$45,517,055"
Scarface,"$44,668,798"
Blue Thunder,"$42,313,354"
Yentl,"$40,218,899"
Silkwood,"$35,615,609"
Psycho II,"$34,725,000"
Porky's II: The Next Day,"$33,759,266"
Uncommon Valor,"$30,503,151"
Snow White and the Seven Dwarfs 1983 Re-release,"$30,100,000"
Never Cry Wolf,"$29,600,000"
Twilight Zone: The Movie,"$29,450,919"
Easy Money,"$29,309,766"
High Road to China,"$28,445,927"
The Outsiders,"$25,697,647"
Spring Break,"$24,071,666"
Two of a Kind,"$23,646,952"
My Tutor,"$22,587,834"
Class,"$21,667,789"
The Right Stuff,"$21,192,102"
Cujo,"$21,156,152"
Christine,"$21,017,849"
The Rescuers 1983 Re-release,"$21,000,000"
The Dead Zone,"$20,766,616"
Breathless,"$19,910,002"
A Christmas Story,"$19,294,144"
Max Dugan Returns,"$17,613,720"
Valley Girl,"$17,343,596"
All the Right Moves,"$17,233,166"
Krull,"$16,519,460"
Spacehunter: Adventures in the Forbidden Zone,"$16,478,265"
Richard Pryor... Here and Now,"$16,156,776"
D.C. Cab,"$16,134,627"
Gorky Park,"$15,856,028"
Still Smokin,"$15,543,710"
The Meaning of Life,"$14,929,552"
Educating Rita,"$14,648,076"
Private School,"$14,049,540"
The Survivors,"$14,000,000"
The Entity,"$13,277,558"
Revenge of the Ninja,"$13,168,027"
To Be or Not to Be,"$13,030,214"
Stroker Ace,"$13,000,000"
Lone Wolf McQuade,"$12,232,628"
The Black Stallion Returns,"$12,049,108"
The Sword in the Stone,"$12,000,000"
Deathstalker,"$11,919,250"
Zelig,"$11,798,616"
The Lords of Discipline,"$11,787,127"
Indiana Jones and the Raiders of the Lost Ark 1983 Re-release,"$11,374,454"
The Smurfs and the Magic Flute,"$11,234,220"
The Man Who Loved Women,"$10,964,231"
Hercules,"$10,676,194"
The House on Sorority Row,"$10,604,986"
Doctor Detroit,"$10,375,893"
Deal of the Century,"$10,369,581"
The Man with Two Brains,"$10,353,438"
The Year of Living Dangerously,"$10,278,575"
Brainstorm,"$10,219,460"
Lovesick,"$10,171,304"
Without a Trace,"$9,632,062"
Bad Boys,"$9,190,819"
Rear Window 1983 Re-release,"$9,084,873"
Strange Brew,"$8,571,374"
Tender Mercies,"$8,443,124"
Something Wicked This Way Comes,"$8,400,000"
10 to Midnight,"$7,175,592"
Romantic Comedy,"$6,857,733"
Fanny and Alexander,"$6,783,304"
Nightmares,"$6,670,680"
The Golden Seal,"$6,666,725"
The Osterman Weekend,"$6,486,797"
Star 80,"$6,472,990"
The Sting II,"$6,347,072"
Amityville 3-D,"$6,333,135"
Chained Heat,"$6,149,983"
Beyond the Limit,"$5,997,566"
The Hunger,"$5,979,292"
Local Hero,"$5,895,761"
Porky's 1983 Re-release,"$5,797,190"
Under Fire,"$5,696,391"
Smokey and the Bandit Part 3,"$5,678,950"
A Night in Heaven,"$5,563,663"
The Star Chamber,"$5,555,305"
The Grey Fox,"$5,516,140"
Vertigo 1983 Re-release,"$5,343,461"
The Dresser,"$5,310,748"
Metalstorm: The Destruction of Jared-Syn,"$5,301,085"
Vigilante,"$5,091,888"
Eddie and the Cruisers,"$4,786,789"
Curse of the Pink Panther,"$4,491,986"
Mortuary,"$4,319,001"
Trenchcoat,"$4,304,286"
Yellowbeard,"$4,300,000"
The Keep,"$4,218,594"
Joysticks,"$3,952,448"
Let's Spend the Night Together,"$3,821,199"
La traviata,"$3,783,329"
The Return of Martin Guerre,"$3,704,433"
Running Brave,"$3,000,000"
"Yor, the Hunter from the Future","$2,810,199"
The Final Option,"$2,666,873"
The Evil Dead,"$2,661,944"
The King of Comedy,"$2,536,242"
Rumble Fish,"$2,494,480"
The Man Who Wasn't There,"$2,443,487"
Table for Five,"$2,439,705"
Tough Enough,"$2,433,722"
"Man, Woman and Child","$2,314,561"
Merry Christmas Mr. Lawrence,"$2,306,560"
The Draughtsman's Contract,"$2,256,246"
The Night of the Shooting Stars,"$2,251,121"
Videodrome,"$2,120,439"
Friday the 13th Part III 1983 Re-release,"$2,108,548"
Screwballs,"$2,082,215"
Testament,"$2,044,892"
Pieces,"$2,032,311"
Savage Islands,"$1,963,756"
Baby It's You,"$1,867,792"
Heat and Dust,"$1,741,435"
Koyaanisqatsi,"$1,723,872"
Stryker,"$1,723,487"
Get Crazy,"$1,645,711"
Lianna,"$1,530,839"
Strange Invaders,"$1,362,303"
Losin' It,"$1,246,141"
The Lonely Lady,"$1,223,200"
Possession,"$1,113,538"
"Say Amen, Somebody","$1,108,299"
Of Unknown Origin,"$1,080,470"
Getting It On,"$975,414"
Rocky III 1983 Re-release,"$902,228"
American Playhouse: The Ballad of Gregorio Cortez,"$804,963"
Lonely Hearts,"$777,087"
Fire and Ice,"$760,883"
The Pirates of Penzance,"$694,497"
Daniel,"$687,475"
Poltergeist 1983 Re-release,"$536,108"
Streamers,"$378,452"
Britannia Hospital,"$375,713"
Boarding School,"$306,061"
Heart Like a Wheel,"$272,278"
Puberty Blues,"$237,000"
The Girl with the Red Hair,"$39,001"
Rock & Rule,"$30,379"
In the White City,"$1,696"
Beverly Hills Cop,"$234,760,478"
Ghostbusters,"$229,242,989"
Indiana Jones and the Temple of Doom,"$179,870,271"
Gremlins,"$148,168,459"
The Karate Kid,"$90,815,558"
Police Academy,"$81,198,894"
Footloose,"$80,035,402"
Romancing the Stone,"$76,572,238"
Star Trek III: The Search for Spock,"$76,471,046"
Splash,"$69,821,334"
Purple Rain,"$68,392,977"
Amadeus,"$51,564,280"
Tightrope,"$48,143,579"
The Natural,"$47,951,979"
"Greystoke: The Legend of Tarzan, Lord of the Apes","$45,858,563"
Revenge of the Nerds,"$40,874,452"
2010: The Year We Make Contact,"$40,400,657"
Breakin',"$38,682,707"
Bachelor Party,"$38,435,947"
Red Dawn,"$38,376,497"
The Terminator,"$38,371,200"
City Heat,"$38,348,988"
All of Me,"$36,403,064"
Places in the Heart,"$34,901,614"
The Killing Fields,"$34,700,291"
Friday the 13th: The Final Chapter,"$32,980,880"
Conan the Destroyer,"$31,042,035"
Dune,"$30,925,690"
The Gods Must Be Crazy,"$30,031,783"
Starman,"$28,744,356"
The Last Starfighter,"$28,733,290"
Cannonball Run II,"$28,078,073"
Teachers,"$27,774,237"
A Passage to India,"$27,187,653"
Pinocchio 1984 Re-release,"$26,414,038"
Protocol,"$26,186,631"
Micki + Maude,"$26,080,861"
The Cotton Club,"$25,928,721"
The Muppets Take Manhattan,"$25,534,703"
A Nightmare on Elm Street,"$25,504,513"
The Woman in Red,"$25,308,147"
Moscow on the Hudson,"$25,068,724"
The Flamingo Kid,"$23,859,382"
Sixteen Candles,"$23,686,027"
The Jungle Book 1984 Re-release,"$23,456,945"
Missing in Action,"$22,812,411"
A Soldier's Story,"$21,821,347"
Against All Odds,"$21,689,062"
"Oh, God! You Devil","$21,538,850"
