Title,Worldwide
Behind Enemy Lines,"$91,753,202"
Gosford Park,"$87,754,044"
Ali,"$87,713,825"
Rat Race,"$85,498,534"
Final Fantasy: The Spirits Within,"$85,131,830"
The Animal,"$84,772,742"
Blow,"$83,282,296"
Exit Wounds,"$79,958,599"
Serendipity,"$77,516,304"
Kate & Leopold,"$76,019,048"
Der Schuh des Manitu,"$75,482,094"
From Hell,"$74,558,115"
The One,"$72,689,126"
The Royal Tenenbaums,"$71,441,250"
Down to Earth,"$71,186,502"
Brotherhood of the Wolf,"$70,752,904"
Thir13en Ghosts,"$68,467,960"
Pokémon 3 the Movie: Spell of the Unown,"$68,411,275"
Bandits,"$67,631,903"
Not Another Teen Movie,"$66,468,332"
Sweet November,"$65,754,228"
K-PAX,"$65,001,485"
Kiss of the Dragon,"$64,437,847"
Captain Corelli's Mandolin,"$62,112,895"
Zoolander,"$60,780,981"
The Crimson Rivers,"$60,094,966"
Jeepers Creepers,"$59,217,789"
Heartbreakers,"$57,756,408"
15 Minutes,"$56,359,980"
Driven,"$54,744,738"
Domestic Disturbance,"$54,249,294"
The Closet,"$50,104,745"
Monster's Ball,"$44,909,486"
Recess: School's Out,"$44,460,850"
Hardball,"$44,102,389"
In the Bedroom,"$43,368,779"
See Spot Run,"$43,057,552"
Shaolin Soccer,"$42,776,760"
Black Knight,"$39,976,235"
Memento,"$39,723,096"
Crocodile Dundee in Los Angeles,"$39,438,674"
Haunted Castle,"$39,093,166"
Someone Like You,"$38,689,940"
What's the Worst That Could Happen?,"$38,464,131"
The Majestic,"$37,317,558"
Valentine,"$36,684,136"
Joy Ride,"$36,642,838"
Riding in Cars with Boys,"$35,743,308"
Original Sin,"$35,402,320"
Jay and Silent Bob Strike Back,"$33,788,161"
Y Tu Mamá También,"$33,616,692"
The Musketeer,"$32,533,802"
Double Take,"$31,603,059"
How High,"$31,283,740"
Beauty and the Beast 2000 IMAX Release,"$31,033,346"
Joe Dirt,"$30,987,695"
Hearts in Atlantis,"$30,919,415"
Monsoon Wedding,"$30,787,356"
Angel Eyes,"$29,715,606"
The Pledge,"$29,419,291"
Baby Boy,"$29,381,649"
Heist,"$28,510,652"
The Tailor of Panama,"$28,008,462"
The Brothers,"$27,958,191"
The Last Castle,"$27,642,707"
Saving Silverman,"$26,086,706"
Corky Romano,"$25,272,752"
The Shipping News,"$24,690,441"
Joe Somebody,"$24,516,772"
Nowhere in Africa,"$24,322,180"
Tanguy,"$24,272,365"
Life as a House,"$23,903,791"
The Glass House,"$23,619,609"
Tomcats,"$23,430,766"
Kingdom Come,"$23,396,049"
Two Can Play That Game,"$22,391,450"
Winged Migration,"$21,493,351"
Amores Perros,"$20,908,467"
Mulholland Dr.,"$20,117,339"
Himalaya 2001 Re-release,"$19,960,881"
Crazy/Beautiful,"$19,937,988"
Get Over It,"$19,900,366"
Summer Catch,"$19,772,447"
Shackleton's Antarctic Adventure,"$19,613,216"
Rock Star,"$19,334,145"
O,"$19,260,537"
The Man Who Wasn't There,"$18,916,623"
The Curse of the Jade Scorpion,"$18,914,307"
3000 Miles to Graceland,"$18,720,175"
Max Keeble's Big Move,"$18,634,654"
"Godzilla, Mothra and King Ghidorah: Attack of the Giant Monsters","$18,623,382"
Antitrust,"$18,195,610"
Jason X,"$16,951,798"
Sugar & Spice,"$16,908,947"
Just Visiting,"$16,176,732"
Iris,"$16,153,953"
Lantana,"$15,747,450"
Enigma 2001 Re-release,"$15,705,007"
With a Friend Like Harry...,"$15,472,186"
Brother,"$15,250,594"
Josie and the Pussycats,"$14,866,015"
Out Cold,"$14,782,676"
Iron Monkey,"$14,694,904"
Together,"$14,572,229"
Freddy Got Fingered,"$14,333,252"
Osmosis Jones,"$14,026,418"
Ghosts of Mars,"$14,010,832"
American Outlaws,"$13,678,913"
One Night at McCool's,"$13,473,370"
Vidocq,"$13,240,767"
Head Over Heels,"$13,127,022"
Formula 51,"$12,881,605"
The Girl from Paris,"$12,812,396"
Apocalypse Now Redux,"$12,543,269"
Say It Isn't So,"$12,320,393"
The Son's Room,"$11,767,402"
Les rois mages,"$11,702,020"
The Experiment,"$11,455,141"
Kabhi Khushi Kabhie Gham...,"$11,329,690"
The Little Polar Bear,"$11,243,547"
Inuyasha the Movie: Affections Touching Across Time,"$10,539,779"
Town & Country,"$10,372,291"
Wasabi,"$10,366,360"
The Wash,"$10,229,331"
Sexy Beast,"$10,045,677"
Girls on Top,"$10,038,662"
The Deep End,"$10,031,529"
Mad Love,"$9,306,362"
Kandahar,"$8,914,751"
Son of the Bride,"$8,772,695"
Ghost World,"$8,764,007"
The Forsaken,"$8,704,851"
Tini: The New Life of Violetta,"$8,678,476"
The Prince and the Pirate,"$8,579,972"
Bones,"$8,378,853"
Merry Christmas,"$8,228,560"
The Hole,"$7,644,361"
Sex and Lucía,"$7,640,680"
Monkeybone,"$7,622,365"
Mean Machine,"$7,310,206"
The Slurb,"$6,854,681"
China: The Panda Adventure,"$6,784,985"
The Road Home,"$6,780,490"
The Piano Teacher,"$6,749,315"
Under the Sand,"$6,531,687"
The Devil's Backbone,"$6,459,020"
Megiddo: The Omega Code 2,"$6,047,691"
Chaos,"$6,042,938"
Tom Thumb,"$5,867,304"
The Golden Bowl,"$5,753,678"
A Fish Tale,"$5,595,327"
Made,"$5,480,653"
Read My Lips,"$5,393,526"
Charlotte Gray,"$5,323,109"
The Lord of the Rings: The Two Towers,"$936,689,735"
Harry Potter and the Chamber of Secrets,"$878,979,634"
Spider-Man,"$821,708,551"
Star Wars: Episode II - Attack of the Clones,"$645,256,452"
Men in Black II,"$441,818,803"
Die Another Day,"$431,971,116"
Signs,"$408,247,917"
Ice Age,"$383,257,136"
My Big Fat Greek Wedding,"$368,744,044"
Minority Report,"$358,372,926"
Catch Me If You Can,"$352,114,312"
Chicago,"$306,776,732"
Austin Powers in Goldmember,"$296,938,801"
xXx,"$277,448,382"
Scooby-Doo,"$275,650,703"
Lilo & Stitch,"$273,144,151"
The Ring,"$249,348,933"
8 Mile,"$242,875,078"
The Bourne Identity,"$214,034,224"
Red Dragon,"$209,196,298"
Two Weeks Notice,"$199,043,242"
Panic Room,"$196,397,415"
The Sum of All Fears,"$193,921,372"
Gangs of New York,"$193,772,504"
Road to Perdition,"$181,001,478"
Sweet Home Alabama,"$180,622,424"
The Scorpion King,"$178,799,308"
Hero,"$177,395,557"
The Santa Clause 2,"$172,855,065"
Mr. Deeds,"$171,269,535"
Stuart Little 2,"$169,956,806"
Blade II,"$155,010,032"
Maid in Manhattan,"$154,906,693"
About a Boy,"$130,549,455"
Space Station 3D,"$128,363,881"
The Time Machine,"$123,729,176"
Spirit: Stallion of the Cimarron,"$122,563,539"
The Pianist,"$120,072,577"
Spy Kids 2: Island of Lost Dreams,"$119,723,358"
Unfaithful,"$119,137,784"
Snow Dogs,"$115,035,090"
We Were Soldiers,"$114,660,784"
Insomnia,"$113,714,830"
Peter Pan 2: Return to Never Land,"$109,862,682"
Treasure Planet,"$109,578,115"
The Hours,"$108,846,072"
Asterix & Obelix: Mission Cleopatra,"$108,012,365"
About Schmidt,"$105,834,556"
The Tuxedo,"$104,391,623"
Resident Evil,"$102,984,862"
John Q,"$102,244,770"
40 Days and 40 Nights,"$95,146,283"
Changing Lanes,"$94,935,764"
28 Days Later...,"$82,719,885"
Reign of Fire,"$82,150,183"
The Rookie,"$80,693,537"
Jackass: The Movie,"$79,493,831"
Collateral Damage,"$78,382,433"
Showtime,"$77,741,732"
Windtalkers,"$77,628,265"
Barbershop,"$77,063,924"
Bend It Like Beckham,"$76,583,333"
The Count of Monte Cristo,"$75,395,048"
Divine Secrets of the Ya-Ya Sisterhood,"$73,839,240"
E.T. the Extra-Terrestrial 20th Anniversary,"$69,177,751"
The Sweetest Thing,"$68,696,770"
Ghost Ship,"$68,349,884"
Star Trek: Nemesis,"$67,336,470"
Bad Company,"$65,977,295"
K-19: The Widowmaker,"$65,716,126"
High Crimes,"$63,781,810"
Like Mike,"$62,274,780"
Crossroads,"$61,141,030"
The Wild Thornberrys,"$60,694,737"
Bowling for Columbine,"$58,008,423"
Drumline,"$57,588,485"
Murder by Numbers,"$56,714,147"
Frida,"$56,298,474"
The Mothman Prophecies,"$55,157,539"
Analyze That,"$55,003,135"
The Hot Chick,"$54,639,553"
The Cat Returns,"$53,452,652"
Big Fat Liar,"$52,970,014"
Dragonfly,"$52,323,400"
One Hour Photo,"$52,223,306"
Blue Crush,"$51,843,679"
Enough,"$51,806,184"
I Spy,"$51,386,477"
Talk to Her 2002 Re-release,"$51,001,550"
A Walk to Remember,"$47,494,916"
Eight Legged Freaks,"$45,867,333"
Queen of the Damned,"$45,479,110"
The Transporter,"$43,928,932"
The Master of Disguise,"$43,411,001"
Orange County,"$43,325,009"
8 Women,"$42,426,583"
Undercover Brother,"$41,604,473"
Pinocchio,"$41,314,585"
Clockstoppers,"$38,793,283"
National Lampoon's Van Wilder,"$38,275,483"
The Banger Sisters,"$38,068,353"
Halloween: Resurrection,"$37,664,855"
Swimfan,"$34,411,240"
Darkness,"$33,988,736"
Friday After Next,"$33,526,835"
The Crocodile Hunter: Collision Course,"$33,082,548"
Confessions of a Dangerous Mind,"$33,013,805"
Adaptation.,"$32,801,173"
Hart's War,"$32,287,044"
Blood Work,"$31,794,718"
The New Guy,"$31,167,388"
City of God,"$30,641,770"
Solaris,"$30,002,758"
The Four Feathers,"$29,882,645"
City by the Sea,"$29,414,087"
Christmas on the Nile,"$29,320,869"
Far from Heaven,"$29,027,914"
Family Honor,"$28,903,789"
Brown Sugar,"$28,316,451"
The Spanish Apartment,"$28,193,749"
Pokemon 4Ever: Celebi - Voice of the Forest,"$28,023,563"
The Quiet American,"$27,674,124"
The Crime of Padre Amaro,"$26,996,738"
All About the Benjamins,"$26,306,533"
Rollerball,"$25,852,764"
Jonah: A VeggieTales Movie,"$25,615,231"
The Way Home,"$24,952,738"
Punch-Drunk Love,"$24,665,649"
The Guru,"$24,128,852"
Dark Water,"$24,010,000"
25th Hour,"$23,928,503"
Sex Is Zero,"$23,915,279"
Eight Crazy Nights,"$23,833,131"
Detective Conan: The Phantom of Baker Street,"$23,786,606"
Antwone Fisher,"$23,367,586"
Ali G Indahouse,"$23,280,529"
Super Troopers,"$23,182,223"
"The Legend of Al, John and Jack","$23,039,985"
Phone,"$21,784,403"
White Oleander,"$21,672,284"
Pokémon Heroes,"$20,867,919"
Serving Sara,"$20,146,150"
Asterix & Obelix: Mission Cleopatra 2002 Re-release,"$20,015,611"
Ballistic: Ecks vs. Sever,"$19,924,033"
S1m0ne,"$19,576,023"
The Lion King 2002 IMAX Release,"$19,486,215"
Tuck Everlasting,"$19,344,615"
Half Past Dead,"$19,233,280"
Martin Lawrence Live: Runteldat,"$19,184,820"
Feardotcom,"$18,902,015"
Empire,"$18,591,272"
The Country Bears,"$18,012,097"
Jail Breakers,"$17,797,711"
The Last Kiss,"$17,720,347"
Frailty,"$17,423,030"
The Importance of Being Earnest,"$17,290,970"
Kung Pow: Enter the Fist,"$16,994,625"
Dead Weight,"$16,987,957"
Life or Something Like It,"$16,872,671"
The Good Girl,"$16,856,124"
Femme Fatale,"$16,838,910"
They,"$16,446,271"
The Powerpuff Girls Movie,"$16,426,471"
The Magdalene Sisters,"$16,373,112"
The Emperor's Club,"$16,318,449"
Rabbit-Proof Fence,"$16,217,411"
Birthday Girl,"$16,171,098"
To Be and to Have,"$16,063,920"
Doraemon: Nobita and the Robot Kingdom,"$16,053,687"
Public Enemy,"$15,897,574"
Hey Arnold! The Movie,"$15,249,308"
Boat Trip,"$15,020,293"
Undisputed,"$14,946,150"
Possession,"$14,815,898"
Hollywood Ending,"$14,569,744"
Stealing Harvard,"$14,277,032"
Godzilla Against MechaGodzilla,"$14,122,958"
Idiots,"$13,936,317"
Dirty Pretty Things,"$13,904,766"
Juwanna Mann,"$13,802,599"
Trapped,"$13,414,416"
Toei Spring Anime Fair,"$13,107,237"
Long Time Dead,"$13,102,295"
Knockaround Guys,"$12,806,614"
Narc,"$12,633,747"
The Other Side of the Bed,"$12,630,208"
Sorority Boys,"$12,517,488"
Nine Queens,"$12,413,888"
Abandon,"$12,302,219"
The Eye,"$12,165,016"
2009: Lost Memories,"$12,049,825"
The Rules of Attraction,"$11,819,244"
Mohou-han,"$11,702,775"
The Order,"$11,560,806"
Adrenaline Rush: The Science of Risk,"$11,011,932"
Extreme Ops,"$10,959,475"
Champion,"$10,569,737"
Bibi Blocksberg,"$10,325,928"
Kamen Rider Ryuki: Episode Final,"$10,112,538"
Pulse: A Stomp Odyssey,"$10,086,514"
The Lord of the Rings: The Return of the King,"$1,140,682,011"
Finding Nemo,"$871,014,978"
The Matrix Reloaded,"$739,412,035"
Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015"
Bruce Almighty,"$484,592,874"
The Last Samurai,"$454,627,263"
Terminator 3: Rise of the Machines,"$433,371,112"
The Matrix Revolutions,"$427,343,298"
X2: X-Men United,"$407,711,549"
Bad Boys II,"$273,339,556"
Something's Gotta Give,"$265,328,738"
Charlie's Angels: Full Throttle,"$259,175,788"
The Village,"$256,697,520"
Brother Bear,"$250,397,798"
Hulk,"$245,285,165"
Love Actually,"$244,931,766"
2 Fast 2 Furious,"$236,350,661"
American Wedding,"$232,722,935"
Scary Movie 3,"$220,673,217"
Elf,"$220,443,451"
Master and Commander: The Far Side of the World,"$211,622,535"
S.W.A.T.,"$207,725,639"
Spy Kids 3-D: Game Over,"$197,011,982"
Anger Management,"$195,745,823"
Cheaper by the Dozen,"$190,212,113"
The Haunted Mansion,"$182,290,266"
Kill Bill: Vol. 1,"$180,899,045"
The League of Extraordinary Gentlemen,"$179,265,204"
Daredevil,"$179,179,718"
How to Lose a Guy in 10 Days,"$177,502,387"
The Italian Job,"$176,070,171"
Cold Mountain,"$173,013,509"
Bringing Down the House,"$164,729,679"
Daddy Day Care,"$164,433,867"
Freaky Friday,"$160,846,332"
Johnny English,"$160,466,000"
Lara Croft Tomb Raider: The Cradle of Life,"$160,099,222"
Mystic River,"$156,595,191"
Bayside Shakedown 2,"$155,138,312"
Seabiscuit,"$148,336,445"
Gothika,"$141,591,324"
Mona Lisa Smile,"$141,337,989"
The Jungle Book 2,"$135,703,599"
The Cat in the Hat,"$133,960,541"
School of Rock,"$131,095,614"
Legally Blonde 2,"$124,914,842"
Big Fish,"$123,218,424"
Peter Pan,"$121,975,011"
Intolerable Cruelty,"$120,801,243"
Lost in Translation,"$118,685,453"
Paycheck,"$117,248,958"
Freddy vs. Jason,"$116,632,628"
The Texas Chainsaw Massacre,"$107,071,655"
Just Married,"$101,564,935"
The Recruit,"$101,191,884"
Once Upon a Time in Mexico,"$98,096,026"
Phone Booth,"$97,837,138"
Underworld,"$95,708,457"
Calendar Girls,"$93,400,759"
Final Destination 2,"$90,941,129"
Identity,"$90,259,536"
Kangaroo Jack,"$88,929,111"
Shanghai Knights,"$88,323,487"
Old School,"$87,135,520"
Tears of the Sun,"$86,468,162"
Sinbad: Legend of the Seven Seas,"$80,773,077"
The Rundown,"$80,657,921"
Runaway Jury,"$80,154,140"
Good Bye Lenin!,"$79,316,957"
Bad Santa,"$76,488,889"
Dreamcatcher,"$75,715,436"
The Core,"$73,498,611"
Holes,"$71,406,573"
Looney Tunes: Back in Action,"$68,514,844"
Open Range,"$68,296,293"
Stuck on You,"$65,784,503"
Matchstick Men,"$65,565,672"
Taxi 3,"$65,497,208"
Jeepers Creepers 2,"$63,102,666"
Piglet's Big Movie,"$62,870,546"
Honey,"$62,228,395"
21 Grams,"$60,427,839"
Under the Tuscan Sun,"$58,878,723"
Agent Cody Banks,"$58,795,814"
Monster,"$58,469,210"
Cradle 2 the Grave,"$56,489,558"
The Lizzie McGuire Movie,"$55,534,455"
Out of Time,"$55,495,563"
Rugrats Go Wild,"$55,250,496"
Radio,"$53,293,628"
Hollywood Homicide,"$51,142,659"
What a Girl Wants,"$50,732,139"
The Jungle Book 2 2003 Re-release,"$50,600,160"
National Security,"$50,097,949"
Secondhand Lions,"$48,249,017"
Darkness Falls,"$47,488,536"
Torque,"$46,546,197"
The Hunted,"$46,061,847"
Good Boy,"$45,312,217"
Uptown Girls,"$44,617,342"
A Man Apart,"$44,350,926"
Timeline,"$43,935,763"
Basic,"$42,792,561"
Whale Rider,"$41,062,976"
Down with Love,"$39,468,111"
Dumb and Dumberer: When Harry Met Lloyd,"$39,267,515"
The Life of David Gale,"$38,955,598"
Head of State,"$38,620,484"
The Missing,"$38,364,277"
Bulletproof Monk,"$37,713,879"
Malibu's Most Wanted,"$34,622,504"
The Medallion,"$34,268,701"
The Fighting Temptations,"$33,972,062"
Pokémon: Jirachi - Wish Maker,"$33,393,751"
Girl with a Pearl Earring,"$33,030,115"
Suddenly Paradise,"$31,679,869"
The Blind Swordsman: Zatoichi,"$31,167,430"
Cabin Fever,"$30,553,394"
Laws of Attraction,"$30,031,874"
Luther,"$29,413,900"
Bugs!,"$29,388,999"
Cold Creek Manor,"$29,119,434"
Wrong Turn,"$28,650,575"
Ruby & Quentin,"$27,720,972"
The In-Laws,"$26,891,849"
In America,"$25,382,911"
The Miracle of Bern,"$24,816,394"
Detective Conan: Crossroad in the Ancient Capital,"$24,342,320"
Mortadelo & Filemon: The Big Adventure,"$23,920,411"
Dickie Roberts: Former Child Star,"$23,769,505"
In the Cut,"$23,726,793"
Biker Boyz,"$23,510,621"
Yomigaeri,"$23,259,542"
Confidence,"$23,014,206"
The Human Stain,"$22,954,068"
Swimming Pool,"$22,441,497"
Chouchou,"$22,288,364"
Ghosts of the Abyss,"$22,141,539"
Love Don't Cost a Thing,"$21,964,072"
The Barbarian Invasions 2003 Re-release,"$21,815,430"
Doraemon: Nobita and the Wind Wizard,"$20,428,491"
Ong-Bak: The Thai Warrior,"$20,235,426"
View from the Top,"$19,526,014"
Duplex,"$19,322,135"
Deep Blue,"$19,288,261"
A Mighty Wind,"$18,750,246"
My Boss's Daughter,"$18,191,005"
My Tutor Friend,"$17,896,209"
The New World,"$17,823,920"
Deliver Us from Eva,"$17,573,594"
A Guy Thing,"$17,432,163"
Would I Lie to You? 2,"$17,317,084"
House of 1000 Corpses,"$16,829,545"
House of Sand and Fog,"$16,763,804"
Dogville,"$16,680,836"
Facing Windows,"$15,530,077"
Zelary,"$15,461,305"
Alex & Emma,"$15,368,897"
The Dreamers,"$15,121,165"
Oldboy,"$14,980,005"
Battle Royale II,"$14,899,584"
One Piece: Dead End Adventure,"$14,817,006"
The Triplets of Belleville,"$14,776,760"
Together with You,"$14,687,167"
How to Deal,"$14,390,329"
Football Days,"$14,117,202"
Touching the Void,"$13,885,802"
House of the Dead,"$13,818,181"
Anything Else,"$13,585,075"
Kal Ho Naa Ho,"$13,200,241"
The Barbarian Invasions,"$13,065,317"
Onmyoji 2,"$13,022,862"
The Divorce,"$12,991,996"
Gods and Generals,"$12,923,936"
"Remember Me, My Love","$12,671,306"
Chasing Papi,"$12,661,189"
Winged Migration 2003 Re-release,"$12,634,963"
Seducing Doctor Lewis,"$12,504,038"
Monsieur Ibrahim,"$12,364,836"
Koi... Mil Gaya,"$12,168,232"
Dark Blue,"$12,150,301"
Beyond Borders,"$11,705,002"
The Dope,"$11,289,473"
Kamen Rider 555: Paradise Lost,"$11,067,556"
Godzilla: Tokyo S.O.S.,"$10,724,345"
The Cooler,"$10,464,788"
A Touch of Spice,"$10,395,779"
Thirteen,"$10,128,960"
Kisarazu Cat's Eye: Nihon Series,"$10,029,866"
Elephant,"$10,012,022"
Shin Chan: The Adult Empire Strikes Back,"$9,851,449"
My Life Without Me,"$9,726,954"
The Young Black Stallion,"$9,638,389"
Married for 7 Years,"$9,545,175"
Veronica Guerin,"$9,439,660"
The Flying Classroom,"$9,378,807"
"Spring, Summer, Fall, Winter... and Spring","$8,944,914"
Après Vous,"$8,852,763"
18 Years Later,"$8,785,730"
Le coeur des hommes,"$8,755,325"
Shrek 2,"$928,760,770"
Harry Potter and the Prisoner of Azkaban,"$795,634,069"
Spider-Man 2,"$788,618,317"
The Incredibles,"$631,442,092"
The Passion of the Christ,"$611,486,736"
The Day After Tomorrow,"$552,639,571"
Meet the Fockers,"$522,657,936"
Troy,"$497,409,852"
Shark Tale,"$374,583,879"
Ocean's Twelve,"$362,744,280"
"I, Robot","$353,133,898"
National Treasure,"$347,512,318"
Van Helsing,"$300,157,638"
The Bourne Supremacy,"$290,633,422"
The Polar Express,"$286,000,505"
Bridget Jones: The Edge of Reason,"$265,126,918"
Howl's Moving Castle,"$235,347,345"
Fahrenheit 9/11,"$222,446,882"
Collateral,"$220,926,695"
The Terminal,"$218,685,607"
Million Dollar Baby,"$216,763,646"
The Aviator,"$213,719,942"
A Series of Unfortunate Events,"$211,468,235"
King Arthur,"$203,567,857"
Garfield,"$203,172,417"
50 First Dates,"$198,413,428"
The Grudge,"$187,281,115"
Scooby-Doo 2: Monsters Unleashed,"$181,216,833"
Along Came Polly,"$178,311,729"
Alien vs. Predator,"$177,427,090"
Starsky & Hutch,"$170,268,750"
Shall We Dance,"$170,128,460"
Dodgeball: A True Underdog Story,"$168,423,227"
Alexander,"$167,298,192"
The Phantom of the Opera,"$154,648,887"
Kill Bill: Vol. 2,"$154,116,796"
Home on the Range,"$145,358,062"
The SpongeBob SquarePants Movie,"$140,192,993"
The Princess Diaries 2: Royal Engagement,"$134,734,481"
Blade: Trinity,"$131,883,935"
Man on Fire,"$130,834,852"
Mean Girls,"$130,125,829"
Resident Evil: Apocalypse,"$129,342,769"
Ray,"$123,971,376"
The Notebook,"$117,812,623"
The Forgotten,"$117,592,831"
Finding Neverland,"$116,650,613"
The Chronicles of Riddick,"$115,900,534"
Closer,"$115,505,027"
White Chicks,"$113,086,475"
Sideways,"$109,706,931"
Hidalgo,"$108,040,622"
The Stepford Wives,"$103,370,127"
Saw,"$103,096,345"
Dawn of the Dead,"$102,278,712"
Kung Fu Hustle,"$100,912,445"
Ladder 49,"$100,572,044"
Hellboy,"$99,318,987"
The Butterfly Effect,"$96,693,417"
Christmas with the Kranks,"$96,572,480"
13 Going on 30,"$96,455,697"
The Manchurian Candidate,"$96,105,910"
Secret Window,"$92,913,171"
House of Flying Daggers,"$92,863,945"
Downfall,"$92,181,574"
Anchorman: The Legend of Ron Burgundy,"$90,649,730"
Catwoman,"$82,102,379"
The Chorus,"$82,032,134"
Exorcist: The Beginning,"$78,110,021"
The Ladykillers,"$76,665,191"
(T)Raumschiff Surprise - Periode 1,"$76,341,401"
Tae Guk Gi: The Brotherhood of War,"$76,287,982"
Eternal Sunshine of the Spotless Mind,"$74,036,715"
Crying Out Love in the Center of the World,"$73,611,055"
Without a Paddle,"$73,029,190"
Around the World in 80 Days,"$72,178,895"
Anacondas: The Hunt for the Blood Orchid,"$70,992,898"
Taxi 2004 Re-release,"$70,778,329"
A Cinderella Story,"$70,067,909"
A Very Long Engagement,"$69,424,389"
Barbershop 2: Back in Business,"$65,991,448"
Taking Lives,"$65,470,529"
Miracle,"$64,445,708"
After the Sunset,"$62,657,868"
Two Brothers,"$62,172,050"
Friday Night Lights,"$61,950,770"
In Good Company,"$61,315,215"
Sky Captain and the World of Tomorrow,"$57,947,036"
Cellular,"$57,678,321"
The Motorcycle Diaries,"$57,663,224"
Seven Dwarves,"$57,410,311"
Walking Tall,"$57,223,890"
Spanglish,"$55,470,154"
The Punisher,"$54,700,105"
Open Water,"$54,683,487"
Team America: World Police,"$50,826,898"
You Got Served,"$50,576,805"
Raising Helen,"$49,718,611"
Fat Albert,"$48,551,322"
Be with You,"$46,616,207"
Napoleon Dynamite,"$46,118,097"
The Sea Inside,"$43,685,449"
Wimbledon,"$41,682,237"
Twisted,"$40,954,603"
Bad Education,"$40,350,837"
Crimson Rivers 2: Angels of the Apocalypse,"$40,152,148"
The Prince and Me,"$37,666,766"
Garden State,"$35,825,316"
Jersey Girl,"$35,492,921"
Alfie,"$35,060,882"
Flight of the Phoenix,"$35,021,497"
The Life Aquatic with Steve Zissou,"$34,808,403"
Pokémon the Movie: Destiny Deoxys,"$34,337,258"
Hotel Rwanda,"$33,882,243"
Confessions of a Teenage Drama Queen,"$33,251,890"
Night Watch,"$32,396,890"
Johnson Family Vacation,"$31,326,183"
The Girl Next Door,"$30,381,722"
Godsend,"$30,120,671"
Shaun of the Dead,"$30,076,102"
Yu-Gi-Oh!: The Movie - Pyramid of Light,"$29,144,802"
Agent Cody Banks 2: Destination London,"$28,818,995"
Thunderbirds,"$28,283,637"
Dirty Dancing: Havana Nights,"$27,685,016"
Ella Enchanted,"$27,388,767"
Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,"$26,663,978"
The Whole Ten Yards,"$26,170,671"
The Alamo,"$25,819,961"
Seed of Chucky,"$24,829,644"
Bride & Prejudice,"$24,716,440"
Podium,"$24,511,116"
Harold & Kumar Go to White Castle,"$23,936,908"
Birth,"$23,925,492"
Christmas in Love,"$22,668,087"
Detective Conan: Magician of the Silver Sky,"$22,618,511"
EuroTrip,"$22,605,153"
Quill: The Life of a Guide Dog,"$22,298,559"
NASCAR: The IMAX Experience,"$22,248,831"
Little Black Book,"$22,035,509"
Do You Know Claudia?,"$21,852,972"
Mr. 3000,"$21,839,377"
Wicker Park,"$21,568,818"
Win a Date with Tad Hamilton!,"$21,513,434"
The Merchant of Venice,"$21,417,725"
New York Minute,"$21,289,826"
Mindhunters,"$21,148,829"
G.O.R.A.,"$20,839,049"
Super Size Me,"$20,645,757"
The 11 Commandments,"$20,537,839"
Ladies in Lavender,"$20,377,075"
Melinda and Melinda,"$20,129,327"
I Heart Huckabees,"$20,072,172"
2046,"$19,470,239"
Vanity Fair,"$19,463,185"
Windstruck,"$19,225,992"
The Corsican File,"$18,922,216"
Swing Girls,"$18,758,613"
Look at Me,"$18,729,751"
De-Lovely,"$18,611,951"
My Baby's Daddy,"$18,490,423"
Quai des illusions,"$18,291,248"
Kinsey,"$17,050,017"
Catch That Kid,"$16,951,702"
Paparazzi,"$16,796,512"
One Missed Call,"$16,367,880"
"Nin x Nin: Ninja Hattori-kun, the Movie","$16,351,134"
What the #$*! Do We (K)now!?,"$15,998,178"
Before Sunset,"$15,936,507"
Lucky Luke and the Daltons,"$15,823,762"
Surviving Christmas,"$15,125,687"
The Last Trapper,"$14,905,929"
Raise Your Voice,"$14,867,514"
Soul Plane,"$14,821,824"
Half a Confession,"$14,638,660"
Welcome to Mooseport,"$14,615,099"
Envy,"$14,494,036"
Being Julia,"$14,339,171"
Vizontele Tuuba,"$13,954,476"
French Spies,"$13,844,465"
Der Wixxer,"$13,607,165"
One Piece: The Cursed Holy Sword,"$13,422,333"
Umizaru,"$13,361,623"
RRRrrrr!!!,"$13,315,054"
Vera Drake,"$13,267,869"
Mariages!,"$12,991,310"
Maria Full of Grace,"$12,594,630"
Breakin' All the Rules,"$12,544,254"
The Clearing,"$12,520,799"
Casshern,"$12,353,768"
Chasing Liberty,"$12,313,323"
Don't Move,"$12,071,007"
Kureyon Shin-chan 2004 Re-release,"$12,066,375"
The Cookout,"$12,009,070"
Layer Cake,"$11,850,214"
Suspect Zero,"$11,416,075"
Connie and Carla,"$11,341,016"
Naruto the Movie: Ninja Clash in the Land of Snow,"$11,141,307"
Head-On,"$11,030,861"
District B13,"$10,976,892"
The Perfect Score,"$10,898,337"
Harry Potter and the Goblet of Fire,"$895,921,036"
Star Wars: Episode III - Revenge of the Sith,"$868,352,530"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115"
War of the Worlds,"$603,873,119"
King Kong,"$562,363,449"
Madagascar,"$542,063,846"
Mr. & Mrs. Smith,"$487,287,646"
Charlie and the Chocolate Factory,"$474,968,763"
Batman Begins,"$371,853,783"
Hitch,"$371,594,210"
Fantastic Four,"$333,535,934"
